id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,HubName,HubDist
"7129300520",10/13/2014,221900,"3",1,"1180","5650",1,,NONE,Average,7 Average,"1180","0.0","1955",0,"98178",47.5112,-122.257,"1340","5650",Fast Food Restaurant:KFC/Taco Bell,0.68488052225103
"6414100192",12/9/2014,538000,"3",2.25,"2570","7242",2,false,NONE,Average,7 Average,"2170","400.0","1951",1991,"98125",47.721,-122.319,"1690","7639",Restaurant:Pizza,0.182411641126126
"5631500400",2/25/2015,180000,"2",1,"770","10000",1,false,NONE,Average,6 Low Average,"770","0.0","1933",,"98028",47.7379,-122.233,"2720","8062",Restaurant:Uma Thai Cuisine,1.2812821068017
"2487200875",12/9/2014,604000,"4",3,"1960","5000",1,false,NONE,Very Good,7 Average,"1050","910.0","1965",0,"98136",47.5208,-122.393,"1360","5000",Cafe:Bird on a Wire,0.753314273096686
"1954400510",2/18/2015,510000,"3",2,"1680","8080",1,false,NONE,Average,8 Good,"1680","0.0","1987",0,"98074",47.6168,-122.045,"1800","7503",Restaurant:Lombardi's,5.15777241250722
"7237550310",5/12/2014,1230000,"4",4.5,"5420","101930",1,false,NONE,Average,11 Excellent,"3890","1530.0","2001",0,"98053",47.6561,-122.005,"4760","101930",Restaurant:Ixtapa,5.79546668488758
"1321400060",6/27/2014,257500,"3",2.25,"1715","6819",2,false,NONE,Average,7 Average,"1715",?,"1995",0,"98003",47.3097,-122.327,"2238","6819",Fast Food Restaurant:Burger Express,0.632577081708898
"2008000270",1/15/2015,291850,"3",1.5,"1060","9711",1,false,,Average,7 Average,"1060","0.0","1963",0,"98198",47.4095,-122.315,"1650","9711",Pub:Dugout Tavern,0.692114795684861
"2414600126",4/15/2015,229500,"3",1,"1780","7470",1,false,NONE,Average,7 Average,"1050","730.0","1960",0,"98146",47.5123,-122.337,"1780","8113",Restaurant:Vatsana,1.5131838867035
"3793500160",3/12/2015,323000,"3",2.5,"1890","6560",2,false,NONE,Average,7 Average,"1890","0.0","2003",0,"98038",47.3684,-122.031,"2390","7570",Restaurant:Jay Berry's,10.07088095606
"1736800520",4/3/2015,662500,"3",2.5,"3560","9796",1,,NONE,Average,8 Good,"1860","1700.0","1965",0,"98007",47.6007,-122.145,"2210","8925",Restaurant:Little Hot Pot,1.39640193500211
"9212900260",5/27/2014,468000,"2",1,"1160","6000",1,false,NONE,Good,7 Average,"860","300.0","1942",0,"98115",47.69,-122.292,"1330","6000",Pub:Wedgwood Ale House,0.0633051869237609
"114101516",5/28/2014,310000,"3",1,"1430","19901",1.5,false,NONE,Good,7 Average,"1430","0.0","1927",,"98028",47.7558,-122.229,"1780","12697",Restaurant:Uma Thai Cuisine,0.329134325186412
"6054650070",10/7/2014,400000,"3",1.75,"1370","9680",1,false,NONE,Good,7 Average,"1370","0.0","1977",0,"98074",47.6127,-122.045,"1370","10208",Restaurant:Lombardi's,4.87455216267614
"1175000570",3/12/2015,530000,"5",2,"1810","4850",1.5,false,NONE,Average,7 Average,"1810","0.0","1900",0,"98107",47.67,-122.394,"1360","4850",Pub:Sloop Tavern,0.0802206599337936
"9297300055",1/24/2015,650000,"4",3,"2950","5000",2,false,GOOD,Average,9 Better,"1980","970.0","1979",0,"98126",47.5714,-122.375,"2140","4000",Restaurant:Luna Park Cafe,0.191754113129611
"1875500060",7/31/2014,395000,"3",2,"1890","14040",2,false,NONE,Average,7 Average,"1890","0.0","1994",0,"98019",47.7277,-121.962,"1890","14018",Restaurant:Ixtapa,1.377900234301
"6865200140",5/29/2014,485000,"4",1,"1600","4300",1.5,false,NONE,Good,7 Average,"1600","0.0","1916",0,"98103",47.6648,-122.343,"1610","4300",Fast Food Restaurant:Kid Valley,0.0997856336844621
"16000397",12/5/2014,189000,"2",1,"1200","9850",1,false,NONE,Good,7 Average,"1200",?,"1921",0,"98002",47.3089,-122.21,"1060","5095",Restaurant:Cocos,2.79732367117744
"7983200060",4/24/2015,230000,"3",1,"1250","9774",1,false,NONE,Good,7 Average,"1250","0.0","1969",0,"98003",47.3343,-122.306,"1280","8850",Fast Food Restaurant:Ivar's,1.25880904756165
"6300500875",5/14/2014,385000,"4",1.75,"1620","4980",1,false,NONE,Good,7 Average,"860","760.0","1947",0,"98133",47.7025,-122.341,"1400","4980",Restaurant:International House of Pancakes,0.156142704465288
"2524049179",8/26/2014,2000000,"3",2.75,"3050","44867",1,false,EXCELLENT,Average,9 Better,"2330","720.0","1968",0,"98040",47.5316,-122.233,"4110","20336",Cafe:Starbucks,0.774985942334712
"7137970340",7/3/2014,285000,"5",2.5,"2270","6300",2,false,NONE,Average,8 Good,"2270","0.0","1995",0,"98092",47.3266,-122.169,"2240","7005",Restaurant:Cocos,5.03992167586414
"8091400200",5/16/2014,252700,"2",1.5,"1070","9643",1,,NONE,Average,7 Average,"1070","0.0","1985",,"98030",47.3533,-122.166,"1220","8386",Fast Food Restaurant:Wendy's,6.58668251493523
"3814700200",11/20/2014,329000,"3",2.25,"2450","6500",2,false,NONE,Good,8 Good,"2450","0.0","1985",0,"98030",47.3739,-122.172,"2200","6865",Fast Food Restaurant:Wendy's,5.17889303751736
"1202000200",11/3/2014,233000,"3",2,"1710","4697",1.5,false,NONE,Very Good,6 Low Average,"1710","0.0","1941",0,"98002",47.3048,-122.218,"1030","4705",Restaurant:Cocos,2.33471170867591
"1794500383",6/26/2014,937000,"3",1.75,"2450","2691",2,false,NONE,Average,8 Good,"1750","700.0","1915",,"98119",47.6386,-122.36,"1760","3573",Cafe:Peet's,0.135764913027393
"3303700376",12/1/2014,667000,"3",1,"1400","1581",1.5,false,NONE,Very Good,8 Good,"1400","0.0","1909",0,"98112",47.6221,-122.314,"1860","3861",Cafe:Cafe Ladro,0.0792541562140043
"5101402488",6/24/2014,438000,"3",1.75,"1520","6380",1,false,NONE,Average,7 Average,"790","730.0","1948",,"98115",47.695,-122.304,"1520","6235",Pub:Cooper's Alehouse,0.613927792654006
"1873100390",3/2/2015,719000,"4",2.5,"2570","7173",2,false,NONE,Average,8 Good,"2570","0.0","2005",0,"98052",47.7073,-122.11,"2630","6026",Fast Food Restaurant:Garlic Jim's,0.824540528747387
"8562750320",11/10/2014,580500,"3",2.5,"2320","3980",2,false,NONE,Average,8 Good,"2320","0.0","2003",0,"98027",47.5391,-122.07,"2580","3980",Restaurant:Lombardi's,1.1147641500917
"2426039314",12/1/2014,280000,"2",1.5,"1190","1265",3,false,NONE,Average,7 Average,"1190","0.0","2005",0,"98133",47.7274,-122.357,"1390","1756",Cafe:Seattle Mobile Espresso,0.509942720801634
"461000390",6/24/2014,687500,"4",1.75,"2330","5000",1.5,false,NONE,Good,7 Average,"1510","820.0","1929",0,"98117",47.6823,-122.368,"1460","5000",Restaurant:A Caprice Kitchen,0.35514169264342
"7589200193",11/10/2014,535000,"3",1,"1090","3000",1.5,false,NONE,Good,8 Good,"1090","0.0","1929",0,"98117",47.6889,-122.375,"1570","5080",Cafe:Wild Mountain Cafe,0.135374377862889
"7955080270",12/3/2014,322500,"4",2.75,"2060","6659",1,false,NONE,Average,7 Average,"1280","780.0","1981",0,"98058",47.4276,-122.157,"2020","8720",Fast Food Restaurant:Burger King,3.13897933231229
"9547205180",6/13/2014,696000,"3",2.5,"2300","3060",1.5,false,NONE,Average,8 Good,"1510","790.0","1930",2002,"98115",47.6827,-122.31,"1590","3264",Restaurant:Himitsu Teriyaki,0.312345908086424
