CATEGORY,NAME,Lat,Long
Leisure,Nature reserve:Pacific Rim National Park Reserve,-124.732,48.621
Leisure,Beach:Yellow Banks,-124.687,48.096
Leisure,Beach:Kayostia Beach,-124.683,48.038
Leisure,Park:Norwegian Memorial,-124.682,48.037
Leisure,Park:Olympic National Park,-124.676,48.266
Leisure,Beach:Warmhouse Beach,-124.665,48.389
Leisure,Beach:Hobuck Beach,-124.665,48.338
Leisure,Beach:Sooes Beach,-124.663,48.307
Leisure,Beach:Rialto Beach,-124.639,47.917
Leisure,Beach:Rialto Beach,-124.639,47.922
Leisure,Beach:First Beach,-124.633,47.904
Leisure,Beach:First Beach,-124.633,47.904
Leisure,Beach:Second Beach,-124.627,47.890
Leisure,Mooring line:Neah Bay Marina,-124.612,48.368
Leisure,Park:James Park,-124.603,47.915
Leisure,Beach:Three D Beach,-124.600,47.883
Leisure,Beach:First Beach,-124.586,48.371
Leisure,Beach:Second Beach,-124.581,48.371
Leisure,Beach:Third Beach,-124.569,48.367
Leisure,Nature reserve:Pacific Rim National Park Reserve,-124.551,48.565
Leisure,Park:Quillayute Needles National Wildlife Refuge,-124.500,47.816
Leisure,Beach:Boulder Beach,-124.469,47.803
Leisure,Nature reserve:Pacific Rim National Park Reserve,-124.459,48.569
Leisure,Nature reserve:Botanical Beach Provincial Park,-124.449,48.535
Leisure,Beach:Ruby Beach,-124.415,47.711
Leisure,Picnic spot,-124.413,48.577
Leisure,Mooring line,-124.410,48.586
Leisure,Nature reserve:Pacific Rim National Park Reserve,-124.394,48.573
Leisure,Park:Tilicum Park,-124.382,47.955
Leisure,Park:Bogachiel State Park,-124.360,47.897
Leisure,Park:Lake Pleasant Recreation Area,-124.337,48.059
Leisure,Park:Copalis National Wildlife Refuge,-124.330,47.400
Leisure,Park:Copalis Rock National Wildlife Refuge,-124.312,47.305
Leisure,Park:Clearwater State Park,-124.291,47.574
Leisure,Park:Tumbling Rapids Recreation Area,-124.288,48.069
Leisure,Nature reserve:Loss Creek Provincial Park,-124.261,48.495
Leisure,Park:Pacific Beach State Park,-124.203,47.205
Leisure,Nature reserve:Gordon Bay Park,-124.199,48.834
Leisure,Park:Griffiths-Priday Ocean State Park,-124.177,47.130
Leisure,Park:Chance A La Mer State Park,-124.168,47.007
Leisure,Park:Oyhut State Park,-124.168,47.017
Leisure,Park:Ocean City State Park,-124.164,47.033
Leisure,Park:Oyhut Wildlife Recreation Area,-124.154,46.943
Leisure,Park:Westhaven State Park,-124.128,46.903
Leisure,Park:Westport Light State Park,-124.124,46.893
Leisure,Park:Twin Harbors Beach State Park,-124.107,46.857
Leisure,Park:Grayland Access State Park,-124.099,46.810
Leisure,Park:Pillar Point Recreation Area,-124.098,48.199
Leisure,Park:Grayland Beach State Park,-124.093,46.789
Leisure,Nature reserve:China Beach Provincial Park,-124.092,48.436
Leisure,Park:South Beach State Park,-124.092,46.772
Leisure,Nature reserve:Lakeview Provincial Park,-124.082,48.819
Leisure,Park:Cape Disappointment State Park,-124.072,46.291
Leisure,Attraction:Grey Whale Skeleton,-124.063,46.347
Leisure,Park:Pacific Pines State Park,-124.055,46.502
Leisure,Park:Loomis Lake State Park,-124.054,46.434
Leisure,Park:Leadbetter Point State Park,-124.053,46.597
Leisure,Park:Willapa National Wildlife Refuge,-124.051,46.633
Leisure,Picnic spot,-124.045,48.420
Leisure,Park:Wreckage Park Zoo,-124.040,46.496
Leisure,Park:Johns River State Wildlife Recreation Area,-123.986,46.895
Leisure,Park:Armstead Memorial,-123.981,45.767
Leisure,Beach:Indian Beach,-123.978,45.928
Leisure,Park:Fort Stevens State Park,-123.971,46.200
Leisure,Beach:Crescent Beach,-123.970,45.915
Leisure,Park:Ecola State Park,-123.969,45.923
Leisure,Park:John Yeon State Park,-123.968,45.910
Leisure,Beach:Short Sand Beach,-123.968,45.761
Leisure,Beach:Cove Beach,-123.968,45.788
Leisure,Park:DeLaura Beach,-123.967,46.158
Leisure,Beach:Chapman Beach,-123.964,45.903
Leisure,Park:Arcadia Beach State Park,-123.962,45.846
Leisure,Park:Tolovana Beach State Park,-123.962,45.873
Leisure,Park:Haystack Hill State Park,-123.962,45.883
Leisure,Beach:Arcadia Beach,-123.961,45.839
Leisure,Park:Oswald West State Park,-123.960,45.770
Leisure,Park:Bush Pioneer County Park,-123.958,46.635
Leisure,Park:Hug Point State Park,-123.958,45.841
Leisure,Park:Les Shirley Park,-123.954,45.901
Leisure,Park:Barview County Park,-123.953,45.573
Leisure,Park:Camp Kiwanilong,-123.950,46.160
Leisure,Park:Twin Rocks State Park,-123.949,45.593
Leisure,Park:Twin Rocks County Park,-123.948,45.600
Leisure,Park:Rockaway Beach City Park,-123.948,45.601
Leisure,Beach:Sunset Beach,-123.947,45.975
Leisure,Park:Rockaway Beach State Park,-123.946,45.614
Leisure,Park:Stanger Memorial VFW Park,-123.946,45.599
Leisure,Park:Neakahnie-Manzanita State Park,-123.943,45.728
Leisure,Park:Manhattan Beach State Park,-123.942,45.643
Leisure,Park:Seaview City Park,-123.941,45.616
Leisure,Beach:Sunset Beach,-123.940,45.693
Leisure,Park:Sunset Beach State Park,-123.939,46.099
Leisure,Park:Smith Lake County Park,-123.938,46.143
Leisure,Beach:Nehalem Beach,-123.937,45.666
Leisure,Beach:Sunset Beach,-123.936,46.089
Leisure,Park:Manzanita City Park,-123.935,45.715
Leisure,Park:Elmer Feldenheimer State Park,-123.932,45.961
Leisure,Park:Lewis and Clark Salt Cairn Historic Monument,-123.932,45.984
Leisure,Park:Sunset Lake Public Park,-123.930,46.100
Leisure,Park:Gearheart Ocean State Park,-123.926,46.025
Leisure,Park:Del Rey Beach State Park,-123.925,46.044
